#{"t_start": 1713959804.0581007, "env_id": "AllPassFilterEnv-v0.2"}
r,l,t
-53188.908059,20000,693.901958
-11745.137628,20000,1395.692949
-8268.403379,20000,2098.838832
-13396.698035,20000,2796.99542
-9722.995018,20000,3478.98172
-5527.105758,20000,4177.872027
-3812.504027,20000,4888.675762
-8091.269873,20000,5582.160778
-249.095821,20000,6262.186885
-9029.763532,20000,6959.696945
-7384.774772,20000,7668.028207
5117.830506,20000,8364.200749
993.837225,20000,9042.03198
-2583.670028,20000,9735.789188
-1389.844449,20000,10427.105287
-10220.494005,20000,11122.9354
-713.933314,20000,11822.718323
-3528.88063,20000,12514.849178
-717.733592,20000,13207.236051
-2805.074341,20000,13900.754891
-5529.135235,20000,14869.35968
-2249.038617,20000,15546.800195
-3379.369938,20000,16241.276037
1925.467538,20000,16935.383458
127.363743,20000,17628.090048
-694.539605,20000,18305.645448
1421.633563,20000,18998.357772
-940.772662,20000,19690.952217
-2342.033709,20000,20383.081815
-1965.621107,20000,21059.889096
-1870.169141,20000,21753.132309
1255.202964,20000,22444.824435
-654.93039,20000,23150.588351
-2027.460936,20000,23842.588305
-2919.337185,20000,24528.080483
-4643.102565,20000,25219.85315
-1525.370488,20000,25911.361037
-1025.314968,20000,26605.764655
2518.338016,20000,27284.31192
-28384.193618,20000,27975.468656
1859.610126,20000,28680.990849
-1112.576404,20000,29372.936455
-2433.806104,20000,30049.364885
-4116.577577,20000,30750.422437
1460.194487,20000,31444.458294
-429.369681,20000,32147.637522
765.681375,20000,32831.214983
-204.4032,20000,33527.188554
122.24348,20000,34225.530039
898.782859,20000,34921.508222
-1070.556056,20000,35616.49524
1868.549374,20000,36294.00008
-2476.256471,20000,36988.015894
-1029.431019,20000,37681.203711
-6331.843329,20000,38374.053212
-1930.924954,20000,39057.040448
-1886.537784,20000,39761.342866
22.675181,20000,40474.045945
1911.304727,20000,41167.103756
1889.939051,20000,41844.715642
-4200.221527,20000,42540.259316
-602.808945,20000,43233.323658
-722.451056,20000,43925.866119
-1404.131036,20000,44604.948806
735.345471,20000,45301.515975
1399.702283,20000,45994.967458
-50.470887,20000,46688.158329
-1365.49679,20000,47381.197764
-2077.369595,20000,48058.950808
2073.08997,20000,48757.879281
2312.602495,20000,49451.526916
-2911.601993,20000,50155.049401
-1704.602522,20000,50840.278265
-806.414492,20000,51534.157193
-3053.865811,20000,52226.889881
-1080.531731,20000,52919.788052
-700.200675,20000,53606.614984
32.954316,20000,54303.049923
-130.793536,20000,54997.118624
433.606154,20000,55689.816012
2250.451205,20000,56385.768206
3782.08496,20000,57076.112518
1921.837162,20000,57769.946744
4202.76808,20000,58463.376135
-6514.990388,20000,59159.597574
5992.018875,20000,59838.26765
6961.548404,20000,60531.625218
4094.142191,20000,61225.265038
1101.576198,20000,61915.928833
-12566.222702,20000,62602.821114
-7484.377,20000,63295.403135
1572.186085,20000,63995.826737
-234.738136,20000,64688.188382
186.026596,20000,65368.855478
-2384.214768,20000,66072.01552
-1239.108676,20000,66777.289809
2914.228033,20000,67469.579781
6504.257989,20000,68161.577871
6176.253716,20000,68840.402463
-5344.885564,20000,69534.506944
-2892.940927,20000,70226.991629
3448.767924,20000,70920.061742
-1227.338863,20000,71600.163985
-2649.107279,20000,72291.775271
1298.857203,20000,72984.853079
-650.320838,20000,74575.371899
4663.12283,20000,77167.463114
-900.193968,20000,79575.49865
3474.207123,20000,81978.861441
-1120.539123,20000,84456.630759
-3752.308717,20000,87016.535907
4665.71242,20000,89473.499938
-2138.998244,20000,91908.150531
-3183.773038,20000,94368.738355
976.86538,20000,96801.054506
-172.610878,20000,99367.571832
-1245.883392,20000,101870.712106
1821.563568,20000,104299.98192
-558.033909,20000,106662.86041
6656.093235,20000,109023.214727
2149.13195,20000,110174.129553
470.880937,20000,110869.405137
4259.165726,20000,111561.721871
-5404.590032,20000,112259.213593
1356.46684,20000,112959.459024
-1016.353868,20000,113662.759414
1724.126402,20000,114358.832576
3218.726182,20000,115038.716349
6974.485112,20000,115726.843073
994.839649,20000,116419.584847
-3873.692459,20000,117130.070396
1746.192032,20000,117821.878256
-3547.915171,20000,118499.276747
9372.505945,20000,119191.28955
-239.121197,20000,119894.349531
-5510.588257,20000,120585.727011
10045.827587,20000,121262.130241
-3396.097863,20000,121960.198762
3261.661121,20000,122651.158093
5974.364683,20000,123343.326914
-5689.402514,20000,124028.90705
-1339.322431,20000,124721.69431
1721.403178,20000,125444.218966
-5423.219806,20000,126148.220828
192.279644,20000,126854.593725
5713.078071,20000,127531.724031
6196.266541,20000,128223.775031
-4117.266447,20000,128915.398238
8595.337486,20000,129608.015008
594.640494,20000,130284.900165
3513.319743,20000,130995.267974
13684.756451,20000,131688.028048
7390.995333,20000,132380.448259
-28015.663225,20000,133057.308948
-5769.614142,20000,133748.632189
28162.77734,20000,134440.981691
8052.735985,20000,135145.31792
2292.038653,20000,135821.679111
5833.671533,20000,136513.858041
6618.230151,20000,137211.382325
11082.584207,20000,137904.365173
20870.125019,20000,138597.15232
3487.761475,20000,139274.029584
-4739.204352,20000,139965.983628
7918.019941,20000,140659.843946
-9271.209404,20000,141354.832905
284.279141,20000,142031.890159
7995.416067,20000,142723.945739
-8170.325442,20000,143416.651582
4853.317933,20000,144107.544942
618.622546,20000,144798.274114
-2701.107347,20000,145490.458959
3759.02425,20000,146184.273882
-1214.599535,20000,146876.384354
4566.046609,20000,147552.640374
10996.395337,20000,148243.706613
8103.626274,20000,148936.667382
66223.820506,20000,149653.222307
28696.228648,20000,150345.036718
-14396.070849,20000,151023.471656
3983.359005,20000,151715.688397
12979.568918,20000,152408.456924
-34162.926195,20000,153101.543024
20314.544006,20000,153787.77436
11692.037902,20000,154479.331899
-6066.187601,20000,155171.870848
6011.460535,20000,155863.226732
-66962.935307,20000,156540.124976
58058.695423,20000,157235.718695
30577.366451,20000,157949.460225
9781.737559,20000,158642.606985
26697.568017,20000,159326.847122
-18727.655366,20000,160017.713558
-36412.043929,20000,160712.304891
23569.995366,20000,161419.628745
33418.612423,20000,162114.927163
9012.735923,20000,162792.64537
-3288.410566,20000,163485.413647
-50685.433362,20000,164177.457611
1924.285037,20000,164869.077847
-1232.710663,20000,165545.282618
717.721149,20000,166236.770901
-7216.359435,20000,166927.559534
33640.586579,20000,167619.353793
-18077.258801,20000,168316.892233
-4208.870445,20000,169009.657597
-7041.11142,20000,169710.79911
-19199.648548,20000,170403.35344
-6186.459043,20000,171097.068715
-1299.98315,20000,171796.313287
4013.87322,20000,172488.925885
-6989.013237,20000,173185.95052
-2681.266055,20000,173890.309291
1707.022095,20000,174566.884883
-2046.322442,20000,175262.178668
1758.891282,20000,175964.190309
1360.161233,20000,176657.27209
1803.329842,20000,177072.824814
790.689471,20000,177409.03613
-3319.868215,20000,177747.279388
-14342.009775,20000,178085.996449
8366.825317,20000,178419.319332
2992.264573,20000,178756.589802
-2961.477271,20000,179094.209683
2140.884299,20000,179431.713124
667.800385,20000,179772.774942
6931.006666,20000,180105.882115
8901.807853,20000,180442.551411
14867.46887,20000,180778.070788
12483.466089,20000,181113.330171
30191.906772,20000,181446.683211
-20693.728191,20000,181781.692306
1469.901628,20000,182120.160688
12086.294665,20000,182455.797687
82643.502681,20000,182786.76739
-5957.28876,20000,183122.814124
1345.922185,20000,183464.670111
-1971.168149,20000,183813.397168
-2273.437123,20000,184151.354562
11520.999601,20000,184492.689345
11090.791103,20000,184833.101679
-57714.348812,20000,185172.241833
-707.564524,20000,185510.453863
3903.084391,20000,185846.571458
-32251.234784,20000,186187.383717
-8459.327991,20000,186535.849815
6043.262615,20000,186887.397484
-8031.198606,20000,187229.827896
4828.314274,20000,187575.20192
-9648.697984,20000,187919.547767
